City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
115,Severo-Kurilsk,RU,50.6789,156.125,53.94,96,85,2.73,overcast clouds
116,Aleksandrovskiy Zavod,RU,50.9237,117.9374,53.55,97,71,4.05,broken clouds
117,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,69,20,15.21,few clouds
118,Chernyshevskiy,RU,63.0128,112.4714,58.32,68,84,3.83,broken clouds
119,Trinidad,BO,-14.8333,-64.9,91.22,30,0,6.49,clear sky
120,Port Alfred,ZA,-33.5906,26.891,58.57,70,0,21.36,clear sky
121,Aksu,CN,41.1231,80.2644,88.16,27,0,5.97,clear sky
122,Stornoway,GB,58.2093,-6.3865,66.92,82,52,9.22,broken clouds
123,Port Macquarie,AU,-31.4333,152.9167,48.16,71,4,7.0,clear sky
124,Oranjemund,NA,-28.55,16.4333,70.02,21,2,11.36,clear sky
125,Terrace,CA,54.5163,-128.6035,59.43,94,75,14.97,light rain
126,Zhezkazgan,KZ,47.8043,67.7144,90.81,17,16,6.38,few clouds
127,Cidreira,BR,-30.1811,-50.2056,70.93,49,0,4.56,clear sky
128,Atuona,PF,-9.8,-139.0333,77.88,68,99,15.79,overcast clouds
129,Tacuarembo,UY,-31.7333,-55.9833,75.97,47,70,6.87,broken clouds
130,Maryville,US,35.7565,-83.9705,88.14,71,20,1.01,few clouds
131,Mahebourg,MU,-20.4081,57.7,70.09,73,20,9.22,few clouds
132,Gondar,ET,12.6,37.4667,58.66,97,100,6.46,light rain
133,Tomatlan,MX,19.9333,-105.25,84.83,66,100,0.6,overcast clouds
134,Rapid Valley,US,44.0625,-103.1463,85.62,48,1,1.01,clear sky
135,Camacha,PT,33.0833,-16.3333,75.96,64,20,16.11,few clouds
136,Butaritari,KI,3.0707,172.7902,83.37,72,0,15.3,clear sky
137,Carthage,TN,36.8611,10.3316,99.93,13,0,11.5,clear sky
138,Morada Nova,BR,-5.1067,-38.3725,93.7,27,42,10.49,scattered clouds
139,Baiyin,CN,36.5583,104.2081,79.7,49,41,5.41,scattered clouds
140,La Ronge,CA,55.1001,-105.2842,67.41,55,29,13.27,scattered clouds
141,Barrow,US,71.2906,-156.7887,39.22,93,90,0.0,moderate rain
142,Ostrovnoy,RU,68.0531,39.5131,48.96,83,100,20.69,overcast clouds
143,Playas,EC,-2.6333,-80.3833,74.62,76,70,6.71,broken clouds
144,Sheridan,US,44.8333,-106.9173,85.32,26,1,1.99,clear sky
145,Sola,VU,-13.8833,167.55,77.67,100,75,0.0,broken clouds
146,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,68,24,7.83,few clouds
147,Broome,US,42.2506,-75.833,79.7,57,1,1.99,clear sky
148,Ballina,AU,-28.8667,153.5667,56.79,59,1,12.1,clear sky
149,Rawson,AR,-43.3002,-65.1023,50.47,34,100,19.33,overcast clouds
150,Havre-Saint-Pierre,CA,50.2334,-63.5986,60.44,82,76,6.17,broken clouds
151,Bridlington,GB,54.0831,-0.1919,66.15,81,100,11.39,overcast clouds
152,Flin Flon,CA,54.7682,-101.865,70.02,54,25,13.8,scattered clouds
153,Sao Filipe,CV,14.8961,-24.4956,74.25,74,82,8.32,broken clouds
154,Juneau,US,58.3019,-134.4197,54.84,99,99,2.24,light rain
155,Georgetown,MY,5.4112,100.3354,85.89,79,20,1.01,few clouds
156,Kuna,US,43.4918,-116.4201,78.73,29,0,5.75,clear sky
157,Marfino,RU,55.7028,37.3822,69.75,42,0,8.95,clear sky
158,Uusikaupunki,FI,60.8004,21.4084,72.12,58,45,8.16,scattered clouds
159,Souillac,MU,-20.5167,57.5167,70.18,73,20,9.22,few clouds
160,Qaanaaq,GL,77.484,-69.3632,40.39,67,75,2.55,broken clouds
161,Mocuba,MZ,-16.8392,36.9856,64.35,59,55,6.71,broken clouds
162,The Valley,AI,18.217,-63.0578,83.1,83,20,16.11,few clouds
163,Bandarbeyla,SO,9.4942,50.8122,78.58,73,95,31.41,overcast clouds
164,Banda Aceh,ID,5.5577,95.3222,81.32,78,99,10.22,overcast clouds
165,Namibe,AO,-15.1961,12.1522,72.23,83,40,11.5,scattered clouds
166,Kangaatsiaq,GL,68.3065,-53.4641,39.56,92,97,13.53,overcast clouds
167,Jalu,LY,29.0331,21.5482,94.35,16,0,14.88,clear sky
168,Nantucket,US,41.2835,-70.0995,77.11,69,0,5.75,clear sky
169,Parrita,CR,9.5201,-84.3225,82.06,83,91,5.41,overcast clouds
170,Honiara,SB,-9.4333,159.95,76.71,86,98,4.9,overcast clouds
171,Clyde River,CA,70.4692,-68.5914,35.83,93,90,12.66,overcast clouds
172,Bull Savanna,JM,17.8868,-77.5902,85.06,55,76,7.54,broken clouds
173,Opunake,NZ,-39.4556,173.8583,47.34,87,8,7.9,clear sky
174,Waipawa,NZ,-41.4122,175.5153,43.93,90,0,6.17,clear sky
175,San Cristobal,VE,7.7669,-72.225,80.78,50,100,5.66,overcast clouds
176,Dandong,CN,40.1292,124.3947,72.59,86,25,2.73,scattered clouds
177,Cockburn Town,TC,21.4612,-71.1419,82.42,78,1,15.52,clear sky
178,Balabac,PH,7.9868,117.0645,83.16,83,100,11.83,overcast clouds
179,Poum,NC,-20.2333,164.0167,71.91,84,6,5.35,clear sky
180,Kaniama,CD,-7.5667,24.1833,83.26,26,3,4.83,clear sky
181,Marsh Harbour,BS,26.5412,-77.0636,78.48,82,100,14.27,overcast clouds
182,Bowen,AU,-20.0167,148.2333,65.26,50,5,8.7,clear sky
183,Port Hardy,CA,50.6996,-127.4199,57.38,100,90,2.3,fog
184,Cabedelo,BR,-6.9811,-34.8339,80.4,61,0,17.81,clear sky
185,Klaksvik,FO,62.2266,-6.589,54.52,94,81,21.88,broken clouds
186,Am Timan,TD,11.0297,20.2827,88.0,46,57,6.96,broken clouds
187,Prince George,CA,53.9166,-122.753,57.25,93,90,8.05,light rain
188,Makakilo City,US,21.3469,-158.0858,76.57,82,38,15.99,scattered clouds
189,Balykshi,KZ,47.0667,51.8667,86.0,28,0,13.42,clear sky
190,Grindavik,IS,63.8424,-22.4338,53.55,93,75,14.97,broken clouds
191,Shiyan,CN,32.6475,110.7781,73.42,93,0,1.3,clear sky
192,Mount Gambier,AU,-37.8333,140.7667,40.91,93,75,17.27,broken clouds
193,Narasapur,IN,16.45,81.6667,83.71,77,47,6.26,scattered clouds
194,Lloydminster,CA,53.2835,-110.0016,64.62,55,20,13.8,few clouds
195,Bonavista,CA,48.6499,-53.1147,67.12,77,63,4.59,broken clouds
196,Fare,PF,-16.7,-151.0167,77.45,68,4,11.79,clear sky
197,Mweka,CD,-4.85,21.5667,90.09,22,17,4.36,few clouds
198,Baykit,RU,61.67,96.37,66.9,72,57,2.57,broken clouds
199,Iralaya,HN,15.0,-83.2333,86.09,70,100,11.52,overcast clouds
200,Alekseyevsk,RU,57.8406,108.3492,61.34,76,42,3.33,scattered clouds
201,Vladyslavivka,UA,45.1667,35.3667,76.62,46,0,8.05,clear sky
202,Touros,BR,-5.1989,-35.4608,86.9,51,12,20.58,few clouds
203,Avera,US,33.194,-82.5271,87.67,54,0,5.79,clear sky
204,Beloha,MG,-25.1667,45.05,63.09,58,71,9.51,broken clouds
205,Lagoa,PT,39.05,-27.9833,71.08,95,11,14.99,few clouds
206,Arcachon,FR,44.5875,-1.0519,76.41,64,75,12.66,broken clouds
207,Ribeira Grande,PT,38.5167,-28.7,77.4,78,75,13.8,broken clouds
208,Chifeng,CN,42.2683,118.9636,74.88,75,100,6.06,overcast clouds
209,Grand Gaube,MU,-20.0064,57.6608,70.2,68,54,1.99,broken clouds
210,Laguna,US,38.421,-121.4238,84.7,58,1,1.99,clear sky
211,Damphu,BT,27.0721,90.1096,72.66,96,67,1.92,broken clouds
212,Paamiut,GL,61.994,-49.6678,41.94,98,100,4.99,overcast clouds
213,Hasaki,JP,35.7333,140.8333,75.6,83,0,5.99,clear sky
214,Dubti,ET,11.7361,41.0853,91.22,39,89,3.6,light rain
215,Chuy,UY,-33.6971,-53.4616,66.2,71,54,4.68,broken clouds
216,Port Said,EG,31.2565,32.2841,81.23,72,0,20.78,clear sky
217,Camana,PE,-16.6228,-72.7111,62.98,76,57,7.36,broken clouds
218,Havelock,US,34.8791,-76.9013,84.94,60,7,7.0,clear sky
219,Skala Fourkas,GR,39.9998,23.3841,87.44,51,17,7.49,few clouds
220,Gushikawa,JP,26.3544,127.8686,79.83,97,90,14.97,mist
221,Aswan,EG,24.0934,32.907,101.43,14,0,17.0,clear sky
222,Margate,GB,51.3813,1.3862,73.89,74,37,1.99,scattered clouds
223,Madison,US,34.7334,-86.5667,88.95,70,40,1.01,haze
224,Dikson,RU,73.5069,80.5464,37.87,96,100,30.58,overcast clouds
225,Acapulco,MX,16.8634,-99.8901,84.24,65,47,3.51,scattered clouds
226,Faanui,PF,-16.4833,-151.75,77.95,66,15,13.98,few clouds
227,Mariental,NA,-24.6333,17.9667,63.25,10,0,9.93,clear sky
228,Mikuni,JP,36.2171,136.1519,76.87,85,6,5.46,clear sky
229,Cairns,AU,-16.9167,145.7667,66.15,100,66,0.0,mist
230,Tambovka,RU,50.0969,128.0489,70.2,96,100,10.87,moderate rain
231,Taganak,PH,6.0833,118.3,83.44,78,81,5.26,broken clouds
232,Pisco,PE,-13.7,-76.2167,66.02,72,90,3.44,overcast clouds
233,Labrea,BR,-7.2586,-64.7981,95.63,34,29,3.22,scattered clouds
234,Alekseyevka,RU,50.6309,38.6903,72.5,53,47,8.16,scattered clouds
235,Amboasary,MG,-25.0333,46.3833,62.06,73,42,9.44,light rain
236,Torbay,CA,47.6666,-52.7314,68.88,71,75,14.97,broken clouds
237,Hualmay,PE,-11.0964,-77.6139,66.94,71,36,8.19,scattered clouds
238,Laukaa,RU,58.7372,29.8453,69.08,40,98,5.55,overcast clouds
239,Novikovo,RU,51.1537,37.8879,71.76,51,98,7.4,overcast clouds
240,Saint George,US,37.1041,-113.5841,88.54,50,1,3.0,clear sky
241,Khonsa,IN,27.0167,95.5667,70.2,97,83,3.09,broken clouds
242,Soe,ID,-9.8607,124.284,61.21,48,81,4.36,broken clouds
243,Ondangwa,NA,-17.9167,15.95,72.23,10,0,7.78,clear sky
244,Chapais,CA,49.7834,-74.8492,74.98,31,92,13.78,overcast clouds
245,Hay River,CA,60.8156,-115.7999,53.56,87,75,6.91,light rain
246,Deputatskiy,RU,69.3,139.9,44.92,78,67,5.26,broken clouds
247,Puerto Maldonado,PE,-12.6,-69.1833,90.19,31,0,3.02,clear sky
248,Srednekolymsk,RU,67.45,153.6833,45.97,77,90,10.27,overcast clouds
249,Nikolskoye,RU,59.7035,30.7861,67.89,40,33,5.21,scattered clouds
250,Lompoc,US,34.6391,-120.4579,60.93,92,90,3.44,mist
251,Kutum,SD,14.2,24.6667,87.66,34,81,10.07,broken clouds
252,Matara,LK,5.9485,80.5353,77.36,91,86,7.47,overcast clouds
253,Lufilufi,WS,-13.8745,-171.5986,76.78,82,27,16.82,light rain
254,Chekhov,RU,55.1431,37.4711,69.75,54,90,3.49,overcast clouds
255,Westport,US,41.1415,-73.3579,84.54,55,0,1.99,clear sky
256,Angoram,PG,-4.0625,144.0661,72.97,99,93,2.08,overcast clouds
257,Ilulissat,GL,69.2167,-51.1,38.1,87,29,8.55,scattered clouds
258,Sambava,MG,-14.2667,50.1667,71.74,74,11,16.73,few clouds
259,Gigmoto,PH,13.7796,124.39,81.52,82,71,12.44,broken clouds
260,Sangar,RU,63.9242,127.4739,61.05,56,5,7.36,clear sky
261,Jumla,NP,29.2747,82.1838,65.57,96,100,1.9,overcast clouds
262,Kasangulu,CD,-4.5911,15.1708,93.76,21,0,2.46,clear sky
263,Oskemen,KZ,49.9565,82.6119,67.96,77,32,2.19,scattered clouds
264,Isangel,VU,-19.55,169.2667,75.07,86,6,2.86,clear sky
265,Hofn,IS,64.2539,-15.2082,53.56,99,100,13.51,overcast clouds
266,Bairnsdale,AU,-37.8333,147.6167,47.46,84,99,9.82,light rain
267,Gamba,GA,-2.65,10.0,74.14,71,28,11.01,scattered clouds
268,Kruisfontein,ZA,-34.0033,24.7314,55.89,45,1,7.38,clear sky
269,Henties Bay,NA,-22.116,14.2845,77.86,34,1,5.61,clear sky
270,Bloemfontein,ZA,-29.1211,26.214,42.42,29,0,7.2,clear sky
271,Thunder Bay,CA,48.4001,-89.3168,76.55,94,75,4.61,broken clouds
272,Adwa,ET,14.1646,38.8955,64.83,81,100,5.48,overcast clouds
273,Gat,IL,31.61,34.7642,83.79,29,1,9.73,clear sky
274,Abu Zabad,SD,12.35,29.25,87.6,46,100,5.64,overcast clouds
275,Alofi,NU,-19.0595,-169.9187,73.29,100,85,4.61,overcast clouds
276,Codrington,AU,-38.2667,141.9667,42.21,82,99,20.02,light rain
277,Srivardhan,IN,18.0333,73.0167,79.61,86,100,10.29,overcast clouds
278,Nadvoitsy,RU,63.8667,34.3167,59.83,48,90,9.24,overcast clouds
279,Alice Springs,AU,-23.7,133.8833,44.15,45,67,5.75,broken clouds
