City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
65,Mandera,KE,88.41,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
67,Santa Cruz,BO,85.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
68,Salyan,AZ,81.81,clear sky,39.5936,48.9805,Kür
69,Pasighat,IN,78.94,heavy intensity rain,28.0667,95.3333,Siang Guest House
71,Vanimo,PG,75.25,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
76,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
78,Progreso,MX,88.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
81,Lata,PT,81.05,clear sky,40.1629,-8.3327,Casa Maquia
86,Kumluca,TR,86.65,clear sky,36.3703,30.2869,TurkuazKöy
87,Kavaratti,IN,81.97,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
94,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
97,Hilo,US,74.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Severnyy,RU,77.04,clear sky,50.677,36.5532,Full House North Mini-Hotel
99,Itoman,JP,80.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
101,Cururupu,BR,86.05,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
102,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
103,Carauari,BR,86.59,overcast clouds,-4.8828,-66.8958,Hotel Fellip
104,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
106,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
107,Kapaa,US,77.11,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
108,Saint Anthony,US,83.25,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
110,Portland,US,72.7,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
111,Padang,ID,78.51,broken clouds,-0.9492,100.3543,Mercure Padang
112,Simpang Empat,MY,85.96,broken clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
114,Meiganga,CM,71.92,moderate rain,6.5167,14.3,DFR HOUSE
117,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
121,Aksu,CN,88.16,clear sky,41.1231,80.2644,Pudong Holiday Hotel
127,Cidreira,BR,70.93,clear sky,-30.1811,-50.2056,Hotel Castelo
128,Atuona,PF,77.88,overcast clouds,-9.8,-139.0333,Villa Enata
129,Tacuarembo,UY,75.97,broken clouds,-31.7333,-55.9833,Complejo San Fructuoso
130,Maryville,US,88.14,few clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
131,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Tomatlan,MX,84.83,overcast clouds,19.9333,-105.25,El Salvial
134,Rapid Valley,US,85.62,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
135,Camacha,PT,75.96,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
136,Butaritari,KI,83.37,clear sky,3.0707,172.7902,Isles Sunset Lodge
139,Baiyin,CN,79.7,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
143,Playas,EC,74.62,broken clouds,-2.6333,-80.3833,Hostal Promenade
144,Sheridan,US,85.32,clear sky,44.8333,-106.9173,Comfort Inn & Suites
145,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
146,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
147,Broome,US,79.7,clear sky,42.2506,-75.833,Chenango Valley State Park
152,Flin Flon,CA,70.02,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
153,Sao Filipe,CV,74.25,broken clouds,14.8961,-24.4956,Hotel Xaguate
155,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
156,Kuna,US,78.73,clear sky,43.4918,-116.4201,Winfield Springs
158,Uusikaupunki,FI,72.12,scattered clouds,60.8004,21.4084,Hotel Aquarius
159,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
162,The Valley,AI,83.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
163,Bandarbeyla,SO,78.58,overcast clouds,9.4942,50.8122,JABIR HOTEL
164,Banda Aceh,ID,81.32,overcast clouds,5.5577,95.3222,Sulthan Hotel International
165,Namibe,AO,72.23,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
168,Nantucket,US,77.11,clear sky,41.2835,-70.0995,Jared Coffin House
169,Parrita,CR,82.06,overcast clouds,9.5201,-84.3225,Beso del Viento
170,Honiara,SB,76.71,overcast clouds,-9.4333,159.95,Heritage Park Hotel
172,Bull Savanna,JM,85.06,broken clouds,17.8868,-77.5902,Big Red's
175,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
